GEOID,perc_below_poverty_2017
17031826202,24.5
17031826301,15.3
17031826303,19
17031826304,38.4
17031826401,16.3
17031826402,18.2
17031826500,38.4
17031826600,24.9
17031826700,28.9
17031826800,32.8
17031826901,49.8
17031826902,42.2
17031827000,32.9
17031827100,39.4
17031827200,26.1
17031827300,43
17031827400,35.1
17031827500,25.7
17031827600,21.8
17031827700,23.7
17031827801,12.9
17031827802,12.9
17031827804,9.2
17031827805,7
17031827901,12.3
17031827902,20.1
17031828000,17.9
17031828100,12.6
17031828201,10.7
17031828202,8.2
17031828300,10.6
17031828401,4.8
17031828402,7
17031828503,20.1
17031828504,26
17031828505,19.9
17031828506,12.5
17031828601,6
17031828602,6.3
17031828701,6.7
17031828702,19.1
17031828801,3.8
17031828802,5.8
17031828900,45.1
17031829000,54.1
17031829100,37.2
17031829200,24.1
17031829301,12.9
17031829302,39.7
17031829401,39.3
17031829402,19.3
17031829500,25.6
17031829600,16.2
17031829700,33
17031829800,3.4
17031829901,6.9
17031829902,19.4
17031830001,10.9
17031830003,16
17031830004,9.4
17031830005,2.3
17031830006,10
17031830007,25.1
17031830008,4.8
17031830100,5.3
17031830201,25.5
17031830202,23.1
17031830300,22.1
17031830400,11.3
17031830500,30.6
17031830600,19.2
17031830700,31
17031830800,5.8
17031830900,4.2
17031831000,1.4
17031831100,15.3
17031831200,22.7
17031831300,24.3
17031831400,23.3
17031831500,12.8
17031831600,13.5
17031831700,18.3
17031831800,13.6
17031831900,3.8
17031832000,13.7
17031832100,13.7
17031832200,8.5
17031832300,8
17031832400,9.5
17031832500,14.6
17031832600,8.4
17031832900,35
17031833000,12.3
17031833100,12.4
17031833300,43.3
17031833900,33.3
17031834000,23.7
17031834200,29
17031834300,20.9
17031834400,28.9
17031834500,40.5
17031834600,48.9
17031834700,52
17031834800,42.3
17031834900,49.4
17031835000,34.5
17031835100,22.7
17031835200,11.2
17031835500,41.6
17031835600,15.9
17031835700,41
17031835800,41.2
17031835900,49.5
17031836000,29
17031836100,41.5
17031836200,28.9
17031836300,22.4
17031836400,28.1
17031836500,29.4
17031836600,18.6
17031836700,36.9
17031836800,59.7
17031836900,38.8
17031837000,34.4
17031837100,26.2
17031837300,35.7
17031837400,44.3
17031837800,30.6
17031838000,46.2
17031838100,34.7
17031838200,38.1
17031838300,25.1
17031838600,56.6
17031838700,48.6
17031838800,49.6
17031839000,20.2
17031839100,16.3
17031839200,22.2
17031839500,30.1
17031839600,16.8
17031839700,21.7
17031839800,18.6
17031839900,15.3
17031840000,9.6
17031840100,19.4
17031840200,16.4
17031840300,18.5
17031840400,27.9
17031840700,39.4
17031840800,34
17031841000,22.4
17031841100,37.3
17031841200,26.6
17031841300,22.1
17031841400,39
17031841500,39.5
17031841600,48.5
17031841700,41.6
17031841800,29.8
17031841900,13.4
17031842000,21.9
17031842100,33.9
17031842200,11.2
17031842300,6.7
17031842400,26.1
17031842500,68.2
17031842600,16.2
17031842800,37.6
17031842900,36.3
17031843000,47.2
17031843100,32.8
17031843200,18.4
17031843300,45.9
17031843400,40.6
17031843500,29.4
17031843600,28.3
17031843700,4.9
17031843800,23.9
17031843900,33.1
17031980000,-
17031980100,-
17031990000,-
