,census_tract,MHI_2016
1062,8229,"62,660"
1063,8230.01,"39,766"
1064,8230.02,"50,208"
1065,8231.01,"53,304"
1066,8231.02,"56,094"
1067,8232,"66,354"
1068,8233.02,"50,481"
1069,8233.03,"52,224"
1070,8233.04,"42,740"
1071,8234,"46,728"
1072,8235,"49,861"
1073,8236.02,"56,563"
1074,8236.03,"41,196"
1075,8236.04,"82,440"
1076,8236.05,"60,029"
1077,8237.02,"54,403"
1078,8237.03,"49,572"
1079,8237.04,"83,438"
1080,8237.05,"46,739"
1081,8238.01,"73,500"
1082,8238.03,"63,269"
1083,8238.05,"56,389"
1084,8238.06,"52,820"
1085,8239.01,"77,071"
1086,8239.03,"101,333"
1087,8239.04,"73,423"
1088,8240.03,"88,859"
1089,8240.04,"72,422"
1090,8240.05,"98,621"
1091,8240.06,"106,688"
1092,8241.05,"102,891"
1093,8241.06,"85,216"
1094,8241.07,"79,318"
1095,8241.08,"75,640"
1096,8241.13,"92,994"
1097,8241.14,"106,168"
1098,8241.15,"67,500"
1099,8241.16,"56,836"
1100,8241.17,"100,601"
1101,8241.19,"94,730"
1102,8241.20,"95,225"
1103,8241.21,"74,239"
1104,8241.22,"91,364"
1105,8241.23,"73,786"
1106,8243,"27,861"
1107,8244,"36,571"
1108,8245.03,"61,384"
1109,8245.05,"84,588"
1110,8245.06,"69,338"
1111,8245.07,"59,643"
1112,8246.01,"74,731"
1113,8246.02,"60,450"
1114,8247.01,"64,849"
1115,8247.02,"56,667"
1116,8248,"37,374"
1117,8249,"32,196"
1118,8250,"60,625"
1119,8252,"65,806"
1120,8253.02,"60,643"
1121,8253.03,"61,730"
1122,8253.04,"76,156"
1123,8254,"61,429"
1124,8255.01,"47,981"
1125,8255.03,"55,430"
1126,8255.04,"49,688"
1127,8255.05,"61,738"
1128,8256,"37,334"
1129,8257,"44,048"
1130,8258.01,"36,693"
1131,8258.02,"43,065"
1132,8258.03,"47,216"
1133,8259,"37,500"
1134,8260,"41,449"
1135,8261,"51,477"
1136,8262.01,"31,802"
1137,8262.02,"47,500"
1138,8263.01,"63,421"
1139,8263.03,"44,653"
1140,8263.04,"31,683"
1141,8264.01,"54,453"
1142,8264.02,"48,281"
1143,8265,"41,405"
1144,8266,"30,769"
1145,8267,"31,474"
1146,8268,"37,281"
1147,8269.01,"17,425"
1148,8269.02,"22,857"
1149,8270,"23,048"
1150,8271,"22,650"
1151,8272,"41,250"
1152,8273,"20,500"
1153,8274,"17,633"
1154,8275,"23,761"
1155,8276,"30,487"
1156,8277,"36,613"
1157,8278.01,"58,702"
1158,8278.02,"62,049"
1159,8278.04,"72,216"
1160,8278.05,"69,762"
1161,8279.01,"77,246"
1162,8279.02,"51,213"
1163,8280,"37,659"
1164,8281,"45,500"
1165,8282.01,"55,428"
1166,8282.02,"56,899"
1167,8283,"47,413"
1168,8284.01,"62,390"
1169,8284.02,"44,219"
1170,8285.03,"43,529"
1171,8285.04,"39,593"
1172,8285.05,"52,843"
1173,8285.06,"48,029"
1174,8286.01,"80,083"
1175,8286.02,"85,543"
1176,8287.01,"60,795"
1177,8287.02,"50,875"
1178,8288.01,"83,281"
1179,8288.02,"65,439"
1180,8289,"27,214"
1181,8290,"14,722"
1182,8291,"22,242"
1183,8292,"44,722"
