zipcode,male_2019,white_2019,median_age_2019
61830,0.50,0.96,44.70
61831,0.57,1.00,59.20
61832,0.47,0.69,37.50
61833,0.48,0.98,45.70
61834,0.61,0.84,43.50
61839,0.48,0.98,37.00
61840,0.57,1.00,55.60
61841,0.51,0.99,39.30
61842,0.48,0.97,49.50
61843,0.48,0.97,35.50
61844,0.44,0.97,55.70
61845,0.51,1.00,59.80
61846,0.50,0.94,41.90
61847,0.49,0.98,44.70
61848,0.48,1.00,37.00
61849,0.55,0.99,40.50
61850,0.48,0.99,44.50
61851,0.51,1.00,43.80
61852,0.53,0.96,32.30
61853,0.47,0.97,36.70
61854,0.47,0.98,45.80
61855,0.50,1.00,51.60
61856,0.50,0.96,42.00
61857,0.56,1.00,39.00
61858,0.46,0.98,39.20
61859,0.51,0.98,42.40
61862,0.51,0.98,46.10
61863,0.46,0.84,43.30
61864,0.50,1.00,42.20
61865,0.51,0.95,34.40
61866,0.47,0.68,31.50
61870,0.54,0.97,44.90
61871,0.53,0.99,44.50
61872,0.44,0.92,55.80
61873,0.50,0.98,38.00
61874,0.44,0.74,34.20
61875,0.40,0.99,33.00
61876,0.45,0.99,45.60
61877,0.51,0.97,36.50
61878,0.52,0.96,49.30
61880,0.50,0.93,38.50
61882,0.54,0.93,52.50
61883,0.47,0.95,38.20
61884,0.50,1.00,50.70
61910,0.48,0.91,34.70
61911,0.48,0.99,32.30
61912,0.47,0.99,48.50
61913,0.47,0.98,46.40
61914,0.49,0.99,45.50
61917,0.52,1.00,48.10
61919,0.46,1.00,49.40
61920,0.48,0.88,28.70
61924,0.50,0.99,49.30
61925,0.56,0.99,37.50
61928,0.59,0.95,44.90
61929,0.52,0.98,48.80
61930,0.45,1.00,33.00
61931,0.50,0.99,40.20
61932,0.50,0.98,45.00
61933,0.51,0.99,48.40
61936,0.47,1.00,40.50
61937,0.51,0.95,40.00
61938,0.49,0.97,41.80
61940,0.50,0.96,46.60
61941,0.56,1.00,53.60
61942,0.47,0.96,53.60
61943,0.48,0.99,47.50
61944,0.49,0.99,44.00
61949,0.43,0.91,55.10
61951,0.49,0.98,41.20
61953,0.53,0.97,39.90
61955,0.48,0.96,45.80
61956,0.52,0.94,43.10
61957,0.50,0.98,41.70
62001,0.45,1.00,46.60
62002,0.48,0.75,42.10
62006,0.53,1.00,45.50
62009,0.53,0.98,39.90
62010,0.49,0.97,41.30
62011,0.56,1.00,65.90
62012,0.52,0.98,45.90
62013,0.48,1.00,46.80
62014,0.49,0.97,40.40
62015,0.48,0.98,40.80
62016,0.50,0.96,39.60
62017,0.53,0.98,51.30
62018,0.49,0.97,44.20
62019,0.49,0.96,52.80
62021,0.49,1.00,43.90
62022,0.46,0.96,52.60
62023,0.50,0.87,31.30
62024,0.49,0.94,40.00
62025,0.50,0.86,32.90
62027,0.51,0.95,51.30
62028,0.52,0.93,21.80
62030,0.42,0.85,54.50
62031,0.52,0.98,50.80
62032,0.45,0.99,44.50
62033,0.49,0.95,44.20
62034,0.50,0.92,39.90
62035,0.49,0.91,46.80
62036,0.55,1.00,59.50
62037,0.52,0.97,48.40
62040,0.49,0.88,42.00
62044,0.45,1.00,47.00
62045,0.55,0.96,56.40
62046,0.48,0.98,33.80
62047,0.50,0.95,38.20
62048,0.47,0.99,33.70
62049,0.62,0.87,40.40
62050,0.42,1.00,32.80
62051,0.52,1.00,55.30
62052,0.48,0.97,40.20
62053,0.48,0.99,39.50
62054,0.62,0.94,44.50
62056,0.48,0.97,44.90
62058,0.53,0.98,49.50
62059,0.41,0.04,55.30
62060,0.47,0.44,39.80
62061,0.50,0.98,40.50
62062,0.48,0.91,45.50
62063,0.47,1.00,51.90
62065,0.25,1.00,19.00
62067,0.46,0.99,47.20
62069,0.50,0.99,46.40
62070,0.38,1.00,-
62074,0.43,0.97,47.00
62075,0.48,0.97,39.30
62076,0.54,1.00,53.50
62077,0.53,0.99,35.20
62078,0.47,1.00,37.80
62079,0.44,1.00,31.40
62080,0.47,0.99,45.60
62081,0.48,1.00,33.70
62082,0.56,0.94,40.80
62083,0.46,0.82,44.30
62084,0.50,0.96,43.30
62085,0.39,0.92,31.80
62086,0.47,0.98,46.50
62087,0.50,0.88,31.30
62088,0.52,0.99,43.60
62089,0.56,1.00,45.40
62090,0.42,0.02,33.30
62091,0.44,1.00,35.80
62092,0.48,0.98,46.30
62093,0.49,0.92,46.20
62094,0.49,0.98,43.20
62095,0.48,0.92,35.60
62097,0.50,0.97,42.40
62098,0.39,1.00,56.10
62201,0.43,0.23,30.40
62203,0.48,0.05,42.30
62204,0.47,0.02,35.10
62205,0.47,0.03,49.20
