Inspection ID,DBA Name,AKA Name,License #,Address,Zip,Inspection Date,Latitude,Longitude,Location
2229540,DOLLOP COFFEE BAR,DOLLOP COFFEE,2418814,866 N DEWITT PL ,60611,10/11/2018,41.89870583,-87.62035054,"(-87.62035054485666, 41.89870582691158)"
2213943,DECOLORES BURRITO JOINT,DECOLORES BURRITO JOINT,2511272,5700 S CICERO AVE ,60638,9/6/2018,41.78932932,-87.74164564,"(-87.74164564419637, 41.789329323265385)"
2213953,HARRY CARAY'S SEVENTH INNING STRETCH,HARRY CARAY'S SEVENTH INNING,2307900,835 N MICHIGAN AVE ,60611,9/6/2018,41.89774086,-87.62396132,"(-87.62396131598219, 41.897740856252504)"
2213960,14 PARISH,14 PARISH,2574405,2333 S MICHIGAN AVE ,60616,9/6/2018,41.85011799,-87.62358911,"(-87.62358910641399, 41.850117993407025)"
2108214,SUBWAY,SUBWAY,1909605,800 N KEDZIE AVE ,60651,10/11/2018,41.89561531,-87.70670533,"(-87.70670532510552, 41.89561531354531)"
2214146,MELI CAFE ON GRAND,MELI CAFE ON GRAND,2065167,540 N WELLS ST ,60654,9/11/2018,41.89198652,-87.63422437,"(-87.63422436802404, 41.891986522433626)"
2214018,ELAINE CHOP SUEY,ELAINE CHOP SUEY,2277799,4512 S DAMEN AVE ,60609,9/7/2018,41.8105071,-87.67531164,"(-87.67531163872825, 41.8105070967972)"
2200751,JACKIE'S MEXICAN CUISINE,JACKIE'S MEXICAN CUISINE,2616696,3207 S HALSTED ST ,60608,8/10/2018,41.83598844,-87.6460816,"(-87.64608160187807, 41.83598843774932)"
2176860,SEAFOOD ON THE TABLES,SEAFOOD ON THE TABLES,2528732,2965 N LINCOLN AVE ,60657,6/6/2018,41.93585162,-87.66310797,"(-87.66310796652628, 41.9358516200296)"
2213851,"KERASOTES SHOWPLACE THEATERS, LLC","KERASOTES SHOWPLACE THEATERS, LLC",1916618,1011 S DELANO EAST CT ,60661,9/4/2018,41.86967389,-87.63236767,"(-87.63236767073617, 41.86967388968045)"
2200705,"CRAVE KABOB, INC",CRAVE KABOB,2578643,1521-1523 W MADISON ST ,60607,8/8/2018,41.88135816,-87.66533271,"(-87.66533270769081, 41.881358155938905)"
2229328,CEBU BAR AND GRILL,CEBU BAR AND GRILL,2615555,2211 W NORTH AVE ,60647,10/3/2018,41.91027701,-87.68286119,"(-87.68286119020127, 41.91027701064524)"
2229571,SKY CHOP SUEY INC,SKY CHOP SUEY INC,25159,8616 S KEDZIE AVE ,60652,10/11/2018,41.73641424,-87.70219239,"(-87.70219239358123, 41.7364142354004)"
2229364,PUBLICAN QUALITY MEATS,PUBLICAN QUALITY MEATS,2616359,825 W FULTON MARKET ,60607,10/4/2018,41.88667745,-87.64860981,"(-87.64860981183432, 41.886677453971)"
2214085,"DOUBLE HAPPINESS ENTERPRISES, INC.",DOUBLE HAPPINESS,27480,1061 W ARGYLE ST ,60640,9/10/2018,41.9731684,-87.65736358,"(-87.65736357565746, 41.97316839903074)"
2213819,GBD CAKES AND SWEETS,GBD CAKES AND SWEETS,2308740,2039 N WESTERN AVE ,60647,9/4/2018,41.91867708,-87.68729897,"(-87.68729897134111, 41.918677083444614)"
2229474,XOCHIMILCO MEXICAN RESTAURANT,XOCHIMILCO MEXICAN RESTAURANT,2601569,2030-2032 W MONTROSE AVE ,60618,10/9/2018,41.96155025,-87.68027083,"(-87.68027082609893, 41.96155024733558)"
2169340,CHILL N2,CHILL N2,2569190,2935 N BROADWAY ,60657,5/8/2018,41.93596932,-87.64411406,"(-87.6441140608449, 41.93596932044773)"
2222236,TACO BELL,TACO BELL,2621921,6631 S CICERO AVE ,60638,9/12/2018,41.77202053,-87.74193175,"(-87.74193175306668, 41.772020528937695)"
2214202,LEONA'S PIZZA,LEONA'S PIZZERIA,2616872,1236 E 53RD ST ,60615,9/11/2018,41.79958201,-87.59510894,"(-87.59510894342813, 41.7995820117793)"
2214035,"MARRIOTT HOTEL SERVICES, INC.",RUSH STREET PANTRY,1891899,540 N MICHIGAN AVE ,60611,9/7/2018,41.89214078,-87.62431278,"(-87.62431278442189, 41.892140783720365)"
2229287,IRIE ISLAND,IRIE ISLAND,2522071,1442 W 103RD ST ,60643,10/1/2018,41.70685163,-87.65894641,"(-87.65894640986417, 41.70685163282266)"
2214182,THE BUDLONG HOT CHICKEN,THE BUDLONG HOT CHICKEN,1791,1008 W ARMITAGE AVE ,60614,9/11/2018,41.91820857,-87.65375769,"(-87.65375768752133, 41.91820856763485)"
2200725,PRET A MANGER,PRET A MANGER,2068718,100 N LA SALLE ST ,60602,8/10/2018,41.88323718,-87.63255558,"(-87.63255557700788, 41.88323717511991)"
2229525,THAI LAGOON RESTAURANT,THAI LAGOON RESTAURANT,48364,2322 W NORTH AVE ,60647,10/3/2018,41.91045086,-87.68577178,"(-87.68577178122376, 41.91045086472163)"
2229392,THE GREAT AMERICAN BAGEL,THE GREAT AMERICAN BAGEL (T3-H10),1879164,11601 W TOUHY AVE ,60666,10/4/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2184357,HILTON O'HARE,HILTON O'HARE & ANDIAMO,2535609,11601 W TOUHY AVE ,60666,7/9/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2229501,ARGO TEA,ARGO TEA  (T3 ROTUNDA),1947515,11601 W TOUHY AVE ,60666,10/10/2018,42.0085364,-87.91442844,"(-87.91442843927047, 42.008536400868735)"
2223178,BURGER KING #1455,BURGER KING,2368974,1401 W FULLERTON AVE ,60614,10/1/2018,41.92510715,-87.66338691,"(-87.66338691442826, 41.92510714850457)"
2214133,ELLIOTT'S SEAFOOD AND CHOP HOUSE GRILL,ELLIOTT'S SEAFOOD AND CHOP HOUSE GRILL,44501,6688-6690 N NORTHWEST HWY ,60631,9/11/2018,42.00245899,-87.81587721,"(-87.81587721099274, 42.00245899044439)"
2213971,"LOS CORRALES TAQUERA, INC.",LOS CORRALES TAQUERIA,2252378,2881 W CERMAK RD ,60623,9/6/2018,41.85174455,-87.69882322,"(-87.69882322090157, 41.85174454712867)"
2223207,ST. REST COUNTRY KITCHEN,ST REST COUNTRY KITCHEN,2355187,727 E 87TH ST ,60619,10/1/2018,41.73652031,-87.60618645,"(-87.60618644626399, 41.73652030530036)"
